service_date,meal_opt_in_created_date,name,menu_name,ingredients_array,service_id,meal_opt_in_id
2023-03-24,2023-03-21 07:08:32.260943+00,California Roll,Sushi Day,"[Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce,  Fresh Ginger, Seaweed, Sushi Rice, Nori, Crab, Agar Agar, Wasabi]",101,1
2023-03-24,2023-03-21 07:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,2
2023-03-24,2023-03-21 07:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,3
2023-03-24,2023-03-21 07:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,4
2023-03-24,2023-03-21 07:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,5
2023-03-24,2023-03-21 08:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,6
2023-03-24,2023-03-21 08:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,7
2023-03-24,2023-03-21 08:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,8
2023-03-24,2023-03-21 09:08:32.260943+00,California Roll,Sushi Day,"[Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce,  Fresh Ginger, Seaweed, Sushi Rice, Nori, Crab, Agar Agar, Wasabi]",101,9
2023-03-24,2023-03-21 09:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,10
2023-03-24,2023-03-21 09:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,11
2023-03-24,2023-03-21 09:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,12
2023-03-24,2023-03-21 09:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,13
2023-03-24,2023-03-21 09:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,14
2023-03-24,2023-03-21 09:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,15
2023-03-24,2023-03-21 09:08:32.260943+00,Spicy Tuna Roll,Sushi Day,"[Tuna, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,16
2023-03-24,2023-03-21 10:08:32.260943+00,Avocado Veggie Combo,Sushi Day,"[Avocado, Cucumber, Carrot, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Agar Agar, Wasabi]",101,17
2023-03-24,2023-03-21 10:08:32.260943+00,Avocado Veggie Combo,Sushi Day,"[Avocado, Cucumber, Carrot, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Agar Agar, Wasabi]",101,18
2023-03-24,2023-03-21 10:08:32.260943+00,California Roll,Sushi Day,"[Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce,  Fresh Ginger, Seaweed, Sushi Rice, Nori, Crab, Agar Agar, Wasabi]",101,19
2023-03-24,2023-03-21 10:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,20
2023-03-24,2023-03-21 10:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,21
2023-03-24,2023-03-21 10:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,22
2023-03-24,2023-03-21 10:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,23
2023-03-24,2023-03-21 10:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,24
2023-03-24,2023-03-21 10:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,25
2023-03-24,2023-03-21 10:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,26
2023-03-24,2023-03-21 10:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,27
2023-03-24,2023-03-21 10:08:32.260943+00,Spicy Tuna Roll,Sushi Day,"[Tuna, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,28
2023-03-24,2023-03-21 11:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,29
2023-03-24,2023-03-21 11:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,30
2023-03-24,2023-03-21 11:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,31
2023-03-24,2023-03-21 11:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,32
2023-03-24,2023-03-21 11:08:32.260943+00,Spicy Tuna Roll,Sushi Day,"[Tuna, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,33
2023-03-24,2023-03-21 11:08:32.260943+00,Spicy Tuna Roll,Sushi Day,"[Tuna, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,34
2023-03-24,2023-03-21 11:12:32.260943+00,California Roll,Sushi Day,"[Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce,  Fresh Ginger, Seaweed, Sushi Rice, Nori, Crab, Agar Agar, Wasabi]",101,35
2023-03-24,2023-03-21 11:12:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,36
2023-03-24,2023-03-21 11:12:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,37
2023-03-24,2023-03-21 11:12:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,38
2023-03-24,2023-03-21 11:12:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,39
2023-03-24,2023-03-21 11:12:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,40
2023-03-24,2023-03-21 11:12:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,41
2023-03-24,2023-03-21 11:12:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,42
2023-03-24,2023-03-21 11:12:32.260943+00,Spicy Tuna Roll,Sushi Day,"[Tuna, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,43
2023-03-24,2023-03-21 12:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,44
2023-03-24,2023-03-21 12:08:32.260943+00,Tuna Salmon Combo,Sushi Day,"[Tuna, Avocado, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Atlantic Salmon, Nori, Agar Agar, Wasabi]",101,45
2023-03-24,2023-03-21 12:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,46
2023-03-24,2023-03-21 12:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,47
2023-03-24,2023-03-21 12:08:32.260943+00,Spicy Combo,Sushi Day,"[Tuna, Salmon, Sesame Oil, Rice Vinegar, Spicy Mayo, Soy Sauce, Fresh Ginger, Seaweed, Sushi Rice, Nori, Yellowtail, Agar Agar, Wasabi]",101,48
2023-03-24,2023-03-21 13:08:32.260943+00,Sashimi Naruto Maki [10 pc],Sushi Day,"[Tuna, Avocado, Cucumber, Sesame Oil, Rice Vinegar, Soy Sauce, Fresh Ginger, Seaweed, Atlantic Salmon, Seaweed Salad, Agar Agar, Wasabi]",101,49
